Category,Parent Company,ALC Brand Extension,ALC Size,Markets,Time Periods,Total $ Sales,Total $ Sales YA,Total $ Sales Change vs Year-Ago,Total EQ Unit Sales,Total EQ Unit Sales YA,Total EQ Unit Sales Change vs Year-Ago,Total TDP,Total TDP YA,Total TDP Change vs Year-Ago,% ACV (Max),% ACV (Max) YA,% ACV (Max) Change vs Year-Ago,Total Average Price,Total Average Price YA,Total Average Price Change vs Year-Ago,Total Average EQ Price,Total Average EQ Price YA,Total Average EQ Price Change vs Year-Ago
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 09-27-2025,,,,,,,,,,,,,,,,,,
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 09-20-2025,,,,,,,,,,,,,,,,,,
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 09-13-2025,,,,,,,,,,,,,,,,,,
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 09-06-2025,,,,,,,,,,,,,,,,,,
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 08-30-2025,,47.5,-47.5,,0.0833333432674408,-0.0833333432674408,,1.8098550814465559,-1.8098550814465559,,0.018098550814465559,-0.018098550814465559,,23.75,-23.75,,569.999932050713,-569.999932050713
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 08-23-2025,,47.5,-47.5,,0.0833333432674408,-0.0833333432674408,,0.671139144436127,-0.671139144436127,,0.00671139144436127,-0.00671139144436127,,23.75,-23.75,,569.999932050713,-569.999932050713
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 08-16-2025,,47.5,-47.5,,0.0833333432674408,-0.0833333432674408,,1.8413446762314953,-1.8413446762314953,,0.018413446762314954,-0.018413446762314954,,23.75,-23.75,,569.999932050713,-569.999932050713
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 08-09-2025,,23.75,-23.75,,0.0416666716337204,-0.0416666716337204,,1.6310564522972055,-1.6310564522972055,,0.016310564522972054,-0.016310564522972054,,23.75,-23.75,,569.999932050713,-569.999932050713
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 08-02-2025,,47.5,-47.5,,0.0833333432674408,-0.0833333432674408,,0.67528193978079554,-0.67528193978079554,,0.006752819397807956,-0.006752819397807956,,23.75,-23.75,,569.999932050713,-569.999932050713
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 07-26-2025,,237.5,-237.5,,0.416666716337204,-0.416666716337204,,6.436638221630087,-6.436638221630087,,0.064366382216300866,-0.064366382216300866,,23.75,-23.75,,569.999932050713,-569.999932050713
